# scan = 511
# date = 5/3/2024
# time = 4:47:40 PM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan h 1.3 k 0 l 0 e 0.1 4 0.1 preset mcu 60
# builtin_command = scan h 1.3 k 0 l 0 e 0.1 4 0.1 preset mcu 60
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = inelastic scans in H0L plane
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.027293,5.027293,13.803923,90.000000,90.000000,120.000000
# ubmatrix = -0.142605,-0.075642,0.056767,-0.179972,-0.092589,-0.045001,0.005468,-0.196116,-0.000650
# mode = 0
# plane_normal = 0.021815,0.013086,0.999676
# ubconf = UB03May2024_95238AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 60.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef        vti     sample       temp
      1     1.3000    -0.0000     0.0001     0.1000     54.467     90.000 132001.000     60.000   113.6641   134.7310   -90.5379     0.4200    -1.0000    25.6200    -5.4375    91.5614    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8761     3.6000     3.5000     1.4862     1.4620     1.000
      2     1.3000    -0.0000     0.0000     0.2000     66.687      7.000 132001.000     60.000   112.1105   135.5126   -88.9748     0.4200    -1.0000    25.8560    -5.4525    90.7439    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8761     3.7000     3.5000     1.4863     1.4544     1.000
      3     1.3000     0.0000    -0.0003     0.3000     69.095      2.000 132001.000     60.000   110.6241   136.2534   -87.4932     0.4200    -1.0000    26.0880    -5.4525    89.9485    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8761     3.8000     3.5000     1.4863     1.4641     1.000
      4     1.3000     0.0000     0.0001     0.4000     58.119      4.000 132001.000     60.000   109.2012   136.9570   -86.0861     0.4200    -1.0000    26.3160    -5.4525    89.1737    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8761     3.9000     3.5000     1.4865     1.4634     1.000
      5     1.3000    -0.0000    -0.0001     0.5000     56.265      2.000 132001.000     60.000   107.8384   137.6264   -84.7472     0.4200    -1.0000    26.5400    -5.4350    88.4183    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8761     4.0000     3.5000     1.4866     1.4595     1.000
      6     1.3000    -0.0000    -0.0001     0.6000     55.230      0.000 132001.000     60.000   106.5093   138.2646   -83.4709     0.4200    -1.0000    26.7640    -5.4100    87.6810    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8761     4.1000     3.5000     1.4867     1.4601     1.000
      7     1.3000    -0.0000     0.0000     0.7000     54.381      1.000 132001.000     60.000   105.2354   138.8738   -82.2523     0.4200    -1.0000    26.9840    -5.3800    86.9608    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8761     4.2000     3.5000     1.4869     1.4635     1.000
      8     1.3000    -0.0000     0.0000     0.8000     53.561      2.000 132001.000     60.000   104.0140   139.4564   -81.0872     0.4200    -1.0000    27.2000    -5.3400    86.2566    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8761     4.3000     3.5000     1.4870     1.4593     1.000
      9     1.3000    -0.0000    -0.0002     0.9000     53.375      2.000 132001.000     60.000   102.8206   140.0142   -79.9715     0.4200    -1.0000    27.4160    -5.2900    85.5676    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8761     4.4000     3.5000     1.4871     1.4627     1.000
     10     1.3000    -0.0000     0.0001     1.0000     52.624      2.000 132001.000     60.000   101.6756   140.5490   -78.9019     0.4200    -1.0000    27.6280    -5.2400    84.8929    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8761     4.5000     3.5000     1.4872     1.4596     1.000
